0.0000,0.5000,0.0000
0.0100,0.5060,0.1186
0.0200,0.5236,0.2328
0.0300,0.5524,0.3441
0.0400,0.5923,0.4530
0.0500,0.6430,0.5597
0.0600,0.7041,0.6629
0.0700,0.7754,0.7602
0.0800,0.8559,0.8481
0.0900,0.9445,0.9217
0.1000,1.0395,0.9751
0.1100,1.1387,1.0028
0.1200,1.2391,0.9998
0.1300,1.3375,0.9633
0.1400,1.4306,0.8931
0.1500,1.5151,0.7919
0.1600,1.5881,0.6647
0.1700,1.6474,0.5180
0.1800,1.6913,0.3589
0.1900,1.7190,0.1943
0.2000,1.7302,0.0308
0.2100,1.7254,-0.1258
0.2200,1.7054,-0.2703
0.2300,1.6719,-0.3979
0.2400,1.6265,-0.5045
0.2500,1.5718,-0.5867
0.2600,1.5101,-0.6420
0.2700,1.4443,-0.6696
0.2800,1.3771,-0.6698
0.2900,1.3112,-0.6447
0.3000,1.2489,-0.5975
0.3100,1.1923,-0.5322
0.3200,1.1429,-0.4532
0.3300,1.1020,-0.3646
0.3400,1.0702,-0.2703
0.3500,1.0480,-0.1737
0.3600,1.0354,-0.0775
0.3700,1.0324,0.0158
0.3800,1.0384,0.1042
0.3900,1.0530,0.1858
0.4000,1.0753,0.2588
0.4100,1.1044,0.3215
0.4200,1.1392,0.3724
0.4300,1.1784,0.4098
0.4400,1.2207,0.4326
0.4500,1.2644,0.4400
0.4600,1.3081,0.4318
0.4700,1.3503,0.4084
0.4800,1.3894,0.3709
0.4900,1.4241,0.3212
0.5000,1.4533,0.2615
0.5100,1.4761,0.1945
0.5200,1.4920,0.1232
0.5300,1.5007,0.0506
0.5400,1.5022,-0.0205
0.5500,1.4967,-0.0873
0.5600,1.4849,-0.1475
0.5700,1.4675,-0.1989
0.5800,1.4455,-0.2401
0.5900,1.4199,-0.2699
0.6000,1.3919,-0.2879
0.6100,1.3627,-0.2940
0.6200,1.3335,-0.2888
0.6300,1.3053,-0.2732
0.6400,1.2791,-0.2485
0.6500,1.2558,-0.2163
